company,symbol,exchange,quarter,periodEnded,revenue,profitLoss,previousRevenue,previousProfitLoss,currency,sourceUrl
20 Microns Limited,20MICRONS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117527_1359067_23012025011312.xml
21st Century Management Services Limited,21STCENMGM,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119064_1374521_07022025045220.xml
360 ONE WAM LIMITED,360ONE,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117830_1362830_28012025022703.xml
3M India Limited,3MINDIA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119158_1375114_07022025075133.xml
3P Land Holdings Limited,3PLAND,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_117351_1350666_18012025035500.xml
3RD ROCK MULTIMEDIA LIMITED,3RDROCK,NSE,Second Quarter,2023-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
3i Infotech Limited,3IINFOLTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118087_1365255_29012025083554.xml
5Paisa Capital Limited,5PAISA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NBFC_INDAS_117334_1349980_17012025062827.xml
63 moons technologies limited,63MOONS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120140_1381235_13022025123744.xml
A B COTSPIN INDIA LIMITED,ABCOTS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120589_1384300_14022025043320.xml
A B Infrabuild Limited,ABINFRA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120416_1383091_13022025110603.xml
A B N INTERCORP LIMITED,ABNINT,NSE,Fourth Quarter,2024-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
A2Z Infra Engineering Limited,A2ZINFRA,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120260_1381967_13022025043653.xml
ABB India Limited,ABB,NSE,Fourth Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120943_1386884_17022025103150.xml
ABHISHEK INTEGRATIONS LIMITED,AILIMITED,NSE,Second Quarter,2023-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/NONINDAS_104493_1064251_05032024054002.xml
ABM International Limited,ABMINTLLTD,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_119032_1374271_07022025030322.xml
ACC Limited,ACC,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_118350_1367750_31012025064516.xml
ACCORD SYNERGY LIMITED,ACCORD,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
ADF Foods Limited,ADFFOODS,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_120859_1386028_15022025011338.xml
AESTHETIK ENGINEERS LIMITED,AESTHETIK,NSE,Second Quarter,2024-09-30,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_116989_1317960_21112024050230.xml
AGARWAL FLOAT GLASS INDIA LIMITED,AGARWALFT,NSE,Fourth Quarter,2023-03-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/-
AGI Greenpac Limited,AGI,NSE,Third Quarter,2024-12-31,,,,,INR,https://nsearchives.nseindia.com/corporate/xbrl/INDAS_117411_1353573_20012025063546.xml
