company,symbol,exchange,date,quarter,status,verificationLevel,source,sourceReference,verifiedAt
Aegis Vopak Terminals Limited,AEGISVOPAK,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Ajax Engineering Limited,AJAXENGG,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Allcargo Logistics Limited,ALLCARGO,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
All Time Plastics Limited,ALLTIME,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Amanta Healthcare Limited,AMANTA,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Aptech Limited,APTECHT,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Arisinfra Solutions Limited,ARIS,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Asahi India Glass Limited,ASAHIINDIA,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Aspinwall and Company Limited,ASPINWALL,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Aster DM Quality Care Limited,ASTERDM,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Aurobindo Pharma Limited,AUROPHARMA,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Automotive Axles Limited,AUTOAXLES,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
BALAXI PHARMACEUTICALS LIMITED,BALAXI,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Berger Paints (I) Limited,BERGEPAINT,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Bikaji Foods International Limited,BIKAJI,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Biocon Limited,BIOCON,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Bodal Chemicals Limited,BODALCHEM,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Brigade Hotel Ventures Limited,BRIGHOTEL,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Cantabil Retail India Limited,CANTABIL,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Cheviot Company Limited,CHEVIOT,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Cohance Lifesciences Limited,COHANCE,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Cummins India Limited,CUMMINSIND,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Datamatics Global Services Limited,DATAMATICS,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Diamines & Chemicals Limited,DIAMINESQ,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
DiGiSPICE Technologies Limited,DIGISPICE,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
eClerx Services Limited,ECLERX,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Entertainment Network (India) Limited,ENIL,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
FDC Limited,FDC,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Garware Technical Fibres Limited,GARFIBRES,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Gateway Distriparks Limited,GATEWAY,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
GMM Pfaudler Limited,GMMPFAUDLR,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Godavari Biorefineries Limited,GODAVARIB,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Godrej Agrovet Limited,GODREJAGRO,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
GE Vernova T&D India Limited,GVT&D,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
HALEOS LABS LIMITED,HALEOSLABS,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
HT Media Limited,HTMEDIA,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
IG Petrochemicals Limited,IGPL,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Industrial Investment Trust Limited,IITL,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
Inventurus Knowledge Solutions Limited,IKS,NSE,2026-08-05,Q1 FY27,confirmed,official-exchange,NSE Event Calendar,https://www.nseindia.com/companies-listing/corporate-filings-event-calendar,2026-08-05T17:54:21+00:00
